Title,Artist,Genre,Release,Rating
Living Things [CD],Linkin Park,Pop,06/26/2012,4.3
Greatest Hits: I II & III: The Platinum Collection [CD],Queen,Pop,09/24/2002,4.9
Good Girl Gone Bad [Reloaded] [CD],Rihanna,R&B Soul,06/17/2008,4.5
Notorious [CD],Adelitas Way,Pop,10/20/2017,4.9
Toxicity [CD],System of a Down,Pop,09/04/01,4.8
Aerial Boundaries [CD],Michael Hedges,Folk,07/02/84,5
Celts [LP] - VINYL,Enya,New Age,03/14/2017,5
JT3: Joshua's Troop [CD],Joshua's Troop,Gospel & Christian,05/08/07,5
Con Todo [CD],Hillsong,New Age,06/29/2010,5
Volume 3: Further in Time [CD],Afro Celt Sound System,New Age,09/09/08,4
Delirium [CD],Cirque du Soleil,World,07/25/2006,5
Crystal Vista [DVD],Iasos,New Age,01/04/00,5
Tubular Bells [2009 Remastered Edition] [CD],Mike Oldfield,New Age,06/09/09,5
Whispered Visions [LP] - VINYL,Emerald Web,Electronic/Dance,11/18/2014,5
Liberation's Door [CD],Snatam Kaur,New Age,09/08/09,5
Toward the Within [CD],Dead Can Dance,Jazz,11/18/2008,5
"LSD: Love, Sensuality and Devotion [CD]",Enigma,New Age,10/23/2001,4
The Visit [Enhanced] [CD],Loreena McKennitt,World,11/14/2006,5
Inamorata [CD],David Arkenstone,New Age,02/03/15,5
Brainwave Suite: Insight and Intuition [CD],Jeffrey D. Thompson,New Age,08/26/2008,5
Frequencies: Sounds of Healing [CD],Jonathan Goldman,New Age,10/11/05,5
Live Forever [CD],Matthew West,New Age,04/28/2015,4
Truth of Touch [CD/DVD] [CD & DVD],Yanni,New Age,04/17/2012,5
Garden [Deluxe Edition] [CD],Kari Jobe,Gospel & Christian,02/03/17,5
Day by Day [CD],Yolanda Adams,Gospel & Christian,08/30/2005,5
Victory Live! [CD],Tye Tribbett & G.A.,Gospel & Christian,05/23/2006,5
Shadow of the Raven [CD],Nox Arcana,Electronic/Dance,08/20/2007,5
Light of the Naam: Morning Chants [CD],Snatam Kaur,New Age,06/10/14,4
Worlds Apart [Remixes] [CD],Blue Stone,Electronic/Dance,07/29/2008,5
Joy in My Heart [CD],Bill Gaither,Gospel & Christian,08/25/2009,5
Israel Homecoming [CD],Bill Gaither,Gospel & Christian,03/01/05,
Church in the Wildwood: Cherished Hymns [CD],Bill Gaither,New Age,01/25/2005,
Capture 1995-2010 [CD],Afro Celt Sound System,New Age,06/21/2011,
Old Rugged Cross [CD],Gordon MacRae,Vocal,08/14/2001,
Return to Ommadawn [CD],Mike Oldfield,New Age,01/27/2017,3
"Heart of Compassion: Songs for Grief, Loss and Recovery [CD]",Ashana,New Age,11/21/2006,
The Best of America [CD],Various Artists,Country,06/11/02,
Here I Am [CD],Marvin Sapp,Gospel & Christian,03/16/2010,4.9
Deep Breakfast [CD],Ray Lynch,New Age,09/18/2001,5
The Very Best of Enya [LP] - VINYL,Enya,New Age,08/25/2017,5
Voices [CD],Yanni,New Age,03/24/2009,4.3
Machines of Desire [LP/CD] [LP] - VINYL,Peter Baumann,Avant-Garde,05/27/2016,5
Mikeschair [CD],MIKESCHAIR,New Age,07/14/2009,5
Christmas Celebration [CD],Mannheim Steamroller,New Age,10/12/04,4.2
Tennessee Christmas: A Holiday Collection [CD],Point of Grace,Gospel & Christian,10/07/08,5
Winter Fantasy [CD],David Arkenstone,Holiday,10/21/2016,5
The Blue Guitar Sessions [CD],Jesse Cook,World,09/25/2012,5
And Winter Came [LP] - VINYL,Enya,New Age,10/20/2017,5
Hiding Place [CD],Selah,Gospel & Christian,05/25/2004,5
Slide on Over Here [CD],Steve Azar,Country,08/04/09,5
30/40 [CD],Mannheim Steamroller,Holiday,11/10/14,4.7
I Stand [CD],Idina Menzel,Vocal,01/29/2008,4.4
Chakra Suite [CD],Steven Halpern,New Age,10/16/2001,5
Beauty Will Rise [CD],Steven Curtis Chapman,Gospel & Christian,11/03/09,5
A Day Without Rain [LP] - VINYL,Enya,New Age,06/16/2017,5
Christmas Song [CD],Mannheim Steamroller,New Age,10/09/07,4.3
Christmas Symphony [CD],Mannheim Steamroller,Holiday,10/11/11,4.8
The Heavens Are Telling [CD],Karen Clark-Sheard,Gospel & Christian,11/04/03,5
A Candlelight Christmas [CD],Mannheim Steamroller,New Age,08/14/2012,5
Stand Out [CD],Tye Tribbett & G.A.,Gospel & Christian,05/06/08,5
Light Fantastic [CD],Steve Roach,New Age,09/21/1999,5
"Live at El Morro, Puerto Rico [CD]",Yanni,New Age,04/17/2012,4.5
Ultimate Love Songs: The Very Best of Jim Brickman [CD],Jim Brickman,New Age,01/27/2009,5
Holy Harmony [CD],Jonathan Goldman,New Age,11/02/04,5
White Winds [Bonus Tracks] [CD],Andreas Vollenweider,New Age,01/10/06,5
Brainwave Suite: Relaxation & Meditation [CD],Jeffrey D. Thompson,New Age,08/26/2008,5
"Le Roi Est Mort, Vive le Roi! [CD]",Enigma,New Age,11/26/1996,4
Gothic [CD],Nox Arcana,Electronic/Dance,10/03/15,4
A Day Without Rain [CD],Enya,New Age,11/21/2000,4.5
Live [All Access Edition] [CD/DVD] [CD & DVD],Mannheim Steamroller,Easy Listening,10/23/2015,5
Live at the Acropolis [Bonus Track] [CD],Yanni,New Age,12/11/07,5
Fresh Aire 7 [CD],Mannheim Steamroller,New Age,09/12/00,5
Forever Yours [CD],Smokie Norful,New Age,08/05/14,4.4
Wow Gospel 2012 [CD],Various Artists,New Age,01/24/2012,4.3
Grace [CD],David Tolk,New Age,01/01/07,5
Duck Rock [Bonus Track] [CD],Malcolm McLaren,Electronic/Dance,04/12/13,5
The Very Best of Sounds of Blackness & Ann Nesby [CD],Sounds of Blackness,Gospel & Christian,10/23/2001,4
Le Onde [LP] - VINYL,Ludovico Einaudi,New Age,06/02/15,5
Stone of Destiny [CD],Steve McDonald,New Age,11/26/2009,5
The Memory of Trees [CD],Enya,New Age,12/05/95,3.7
Live [Only @ Best Buy] [CD & Blu-Ray],Mannheim Steamroller,Easy Listening,10/16/2015,4.8
Elvis: Ultimate Gospel [Bonus Track] [CD],Elvis Presley,Gospel & Christian,03/06/07,4.8
Never Alone [CD & DVD],Jim Brickman,New Age,04/27/2010,5
Sensuous Chill [CD],Yanni,New Age,01/29/2016,4.5
Watermark [CD],Enya,New Age,11/12/91,5
Drum Spirit [CD],Steven Halpern,New Age,09/04/07,2.5
Crystal Bowl Healing 2012 [CD],Steven Halpern,New Age,02/12/13,5
Spring Carousel [CD],George Winston,Jazz,03/31/2017,5
Oxygène [CD],Jean Michel Jarre,Avant-Garde,05/13/2014,5
Music of the Spheres [CD],Mike Oldfield,New Age,03/18/2008,5
The  Sound of Victory [CD],Maurette Brown Clark,New Age,11/08/11,5
White Sun II [CD],White Sun,New Age,08/26/2016,5
Wow Gospel Christmas [15-Track] [CD],Various Artists,Gospel & Christian,09/24/2013,4
Travels [CD],Jake Shimabukuro,New Age,10/09/15,5
Heaven and Earth [CD],Acappella,Gospel & Christian,06/06/06,5
WOW Hits 2009 [CD],Various Artists,Gospel & Christian,10/07/08,5
Solo Journey [CD],Bradley Joseph,New Age,10/11/12,5
Pure Romance [CD],Jim Brickman,Easy Listening,01/06/15,5
Dolphin Therapy [CD],Patricia Tamana,New Age,05/19/2015,5
Worlds Apart [CD/DVD] [Deluxe Edition] [CD],Blue Stone,Electronic/Dance,08/10/08,5
Sidewaulk [CD],Capercaillie,World,01/05/93,5
Fall of a Rebel Angel [Deluxe Edition] [CD],Enigma,Electronic/Dance,11/11/16,5
Take My Hand: Gospel Favourites [CD],Elvis Presley,Gospel & Christian,03/28/2000,5
Celtic Chillout [CD],David Arkenstone,Electronic/Dance,04/20/2010,5
The Screen Behind the Mirror [CD],Enigma,New Age,01/18/2000,4
The Big Chill: More Songs from the Original Soundtrack [CD],Various Artists,Soundtracks & Shows,11/24/1998,5
Putumayo Presents: World Yoga [CD],Various Artists,New Age,10/16/2012,5
Thunderstorm [Nature/Rykodisc] [CD],Various Artists,New Age,06/13/1995,5
The Very Best of Acoustic Alchemy [CD],Acoustic Alchemy,New Age,08/27/2002,2
Songs from a Secret Garden [CD],Secret Garden,New Age,04/16/1996,5
The Fall of a Rebel Angel [CD],Enigma,Electronic/Dance,11/11/16,4.3
Relaxation: A Guided Approach to Mental and Physical Relaxation [CD],Kimberly Miles,New Age,07/14/2008,4
Beyond the Darkness [CD],Tarralyn Ramsey,Gospel & Christian,09/15/2009,4
"Party Tyme Karaoke: Contemporary Christian, Vol. 1 [CD]",Karaoke,Gospel & Christian,09/20/2005,5
Sounds of Nature: Rainstorms and Nature [CD],Various Artists,New Age,02/16/1999,1
New Life [CD & DVD],Paul Cardall,New Age,02/15/2011,5
Christmas Peace [CD],Elvis Presley,New Age,11/04/03,4
"Soothe, Vol. 1: Music to Quiet Your Mind & Soothe Your World [CD]",Jim Brickman,New Age,09/02/16,5
Beyond Dreams: Pathways to Deep Relaxation [CD],Hennie Bekker,New Age,07/22/2016,5
Voices: Live in Concert [DVD],,,10/26/2009,5
Live: Hymns & Worship [CD],Guy Penrod,Country,01/29/2016,5
MCMXC A.D. [CD],Enigma,New Age,06/29/1992,5
The Cross of Changes [CD],Enigma,New Age,02/08/94,5
Bad [CD],Michael Jackson,Pop,11/11/14,4.8
Californication [CD] [PA],Red Hot Chili Peppers,Pop,06/08/99,4.6
The Best of John Denver Live [CD],John Denver,Pop,12/06/11,4.6
reputation [CD],Taylor Swift,Pop,11/10/17,4.6
So Far [CD],"Crosby, Stills, Nash & Young",Pop,09/30/2008,4.7
Ten [CD],Pearl Jam,Pop,08/27/1991,4.7
Playlist: The Very Best of Luther Vandross [CD],Luther Vandross,R&B Soul,11/20/2015,4.9
From Under the Cork Tree [CD],Fall Out Boy,Pop,05/03/05,4.6
The Essential Michael Jackson [CD],Michael Jackson,R&B Soul,07/19/2005,4.8
Heaven Upside Down [CD],Marilyn Manson,Pop,10/06/17,4.5
Diamonds [CD],Elton John,Pop,11/10/17,4.9
Crystal Visions: The Very Best of Stevie Nicks [CD],Stevie Nicks,Pop,03/27/2007,4.8
Greatest Hits [CD],Seals & Crofts,Pop,10/25/1990,4.9
1 [20-Track]  [CD],The Beatles,Pop,11/06/15,4.9
Greatest Hits 1985 -1995 [CD],Heart,Pop,06/27/2000,4.7
Supersexy Swingin' Sounds [CD] [PA],White Zombie,Pop,08/13/1996,4
Playlist: The Very Best Of Bad Company [CD],Bad Company,Pop,02/19/2016,4.3
 An  Introduction To [CD],Dionne Warwick,Pop,03/02/18,
Greatest Hits: Back to the Start [CD],Megadeth,Pop,06/28/2005,4.6
The Very Best of Fleetwood Mac [Rhino] [Enhanced CD],Fleetwood Mac,Pop,10/15/2002,4.8
Playlist: The Very Best of Foreigner   [CD],Foreigner,Pop,02/19/2016,4.3
Faceless [CD] [PA],Godsmack,Pop,04/08/03,4.7
One-X [CD],Three Days Grace,Pop,06/13/2006,4.8
Resurrection [CD],Operation: Mindcrime,Pop,09/23/2016,3.9
Greatest Hits [Special Products] [CD],Gary Puckett,Pop,10/01/95,4.5
Crooked Teeth [Deluxe] [2CD] [CD],Papa Roach,Pop,05/19/2017,4.7
Playlist: The Very Best of Electric Light Orchestra [CD],Electric Light Orchestra,Pop,11/20/2015,4.8
Hydrograd [CD],Stone Sour,Pop,06/30/2017,4.5
Ramones [40th Anniversary Edition] [CD],Ramones,Pop,09/09/16,
Dookie [CD],Green Day,Pop,02/01/94,4.8
Best of Foreigner 4 & More [CD],Foreigner,Pop,12/15/2014,4.3
Greatest Hits [Warner Bros.] [CD] [PA],Red Hot Chili Peppers,Pop,11/18/2003,4.8
She's So Unusual [CD],Cyndi Lauper,Pop,11/21/2000,5
Loud [CD],Rihanna,R&B Soul,11/16/2010,4.7
All the Right Reasons [CD],Nickelback,Pop,10/04/05,4.6
Slippery When Wet [CD],Bon Jovi,Pop,02/09/99,4.8
The Essential Journey [CD],Journey,Pop,10/16/2001,4.8
The Silent Vigil [CD],Memoriam,Pop,03/23/2018,
"Greatest Hits, Vol. 1 [CD]",Linda Ronstadt,Country,10/25/1990,4.7
The Essential Electric Light Orchestra [CD],Electric Light Orchestra,Pop,06/03/14,4.8
Dangerous Toys [CD],Dangerous Toys,Pop,02/01/08,5
Best of the Doobies [CD],The Doobie Brothers,R&B Soul,06/08/04,4.7
Radio Gold: 60s [CD],Various Artists,Pop,12/04/12,
Do You Hear What I Hear? [CD],Various Artists,Vocal,10/10/95,
Nightbringers [CD],The Black Dahlia Murder,Pop,10/06/17,4.9
Silver Side Up [CD],Nickelback,Pop,09/11/01,4.4
"Chronicle, Vol. 1 [LP] - VINYL",Creedence Clearwater Revival,Pop,07/01/91,4.9
Climbing! [US Bonus Track] [CD],Mountain,Pop,02/01/08,5
Just Dance [Remix] [CD],Lady Gaga,Pop,06/17/2008,4.2
Greatest Hits [CD],Bruce Springsteen,Pop,02/28/1995,4.7
Playlist: The Very Best of Daryl Hall & John Oates [CD],Daryl Hall & John Oates,R&B Soul,11/20/2015,4.7
Disturbed: Live at Red Rocks [CD] [PA],Disturbed,Pop,11/18/2016,4.8
Blood Sweat and Tears [Expanded] [CD],"Blood, Sweat & Tears",Pop,09/05/00,3.5
Undisputed Attitude [CD] [PA],Slayer,Pop,06/18/2002,4.9
 Both Sides of the Sky [CD],Jimi Hendrix,Pop,03/09/18,4.1
Sounds of Summer: The Very Best of the Beach Boys [CD],The Beach Boys,Pop,06/10/03,4.8
20th Century Masters-The Millennium Collection: The Best of ABBA [CD],ABBA,Pop,09/26/2000,4.8
20th Century Masters: The Millennium Collection: Best of the Commodores [CD],Commodores,R&B Soul,11/23/1999,4.8
"Greatest Hits, Vol. 1 [CD] [PA]",Korn,Pop,10/05/04,4.7
If You Leave Me Now (And Other Hits) [2012] [CD],Chicago,Pop,03/13/2012,4.6
The Number of the Beast [CD],Iron Maiden,Pop,03/26/2002,4.8
Gold: Greatest Hits [CD],ABBA,Pop,01/01/12,4.7
Aerosmith's Greatest Hits 1973-1988 [CD],Aerosmith,Pop,11/11/14,4.8
Greatest Hits [CD] [PA],Bone Thugs-N-Harmony,Pop,11/16/2004,4.8
"Chronicle, Vol. 1 [CD]",Creedence Clearwater Revival,Pop,10/25/1990,4.9
Vol. 3: The Subliminal Verses [CD] [PA],Slipknot,Pop,05/25/2004,4.5
Timeless: The All-Time Greatest Hits [CD],Bee Gees,Pop,04/21/2017,4.6
Icon [CD],The Who,Pop,04/05/11,4.7
Fallen [CD],Evanescence,Pop,03/04/03,4.8
American Idiot [CD] [PA],Green Day,Pop,09/21/2004,4.7
Now That's What I Call Music! 65 [CD],Various Artists,Latin,02/02/18,4.3
Greatest Hits... So Far!!! [CD] [PA],P!nk,Pop,11/16/2010,4.7
Ultimate Santana [CD],Santana,Jazz,10/16/2007,4.7
Doors [50th Anniversary Remastered Edition] [1CD] [CD],The Doors,Pop,06/02/17,4.8
Ritual [CD] [PA],In This Moment,Pop,07/21/2017,4.5
The Punishment of Luxury [CD],Orchestral Manoeuvres in the Dark,Pop,09/01/17,4.8
Antennas to Hell: The Best of Slipknot [CD] [PA],Slipknot,Pop,07/24/2012,4.7
÷ [CD],Ed Sheeran,Pop,03/03/17,4.7
Unorthodox Jukebox [CD] [PA],Bruno Mars,Pop,12/11/12,4.7
Man of the Woods [CD],Justin Timberlake,Pop,02/02/18,4.3
Sgt. Pepper's Lonely Hearts Club Band [50th Anniversary Edition] [LP] - VINYL,The Beatles,Pop,05/26/2017,4.8
Prince [CD],Prince,R&B Soul,10/25/1990,4.8
+ [Enhanced CD],Ed Sheeran,Pop,06/12/12,4.6
Hysteria [30th Anniversary Edition] [CD],Def Leppard,Pop,08/04/17,4.9
Crooked Shadows [CD],Dashboard Confessional,Pop,02/09/18,
No Cross No Crown [CD],Corrosion of Conformity,Pop,01/12/18,4.9
This Type of Thinking (Could Do Us In) [CD],Chevelle,Pop,04/21/2017,4.6
20th Century Masters: The Millennium Collection: The Best Of Aerosmith [CD],Aerosmith,Pop,07/07/10,4.7
NOW: The 00's [CD],Various Artists,Pop,11/03/17,5
Return to Pooh Corner [CD],Kenny Loggins,Children's,05/10/94,5
Woodstock [CD],Various Artists,R&B Soul,06/02/09,5
Playlist: The Very Best of REO Speedwagon [CD],REO Speedwagon,Pop,11/20/2015,4.7
Time Flies: The Best of Huey Lewis & the News [CD],Huey Lewis & the News,Pop,10/29/1996,4.9
Heartbeat City [Expanded Edition] [CD],The Cars,Pop,03/30/2018,
Yield [CD],Pearl Jam,Pop,02/03/98,5
Used Future [CD],The Sword,Pop,03/23/2018,
Forever Soul R&B [Sonoma] [CD],Various Artists,Pop,06/15/2016,3
Pyromania [CD],Def Leppard,Pop,10/25/1990,4.7
Solo Box Set Collection [CD],Kip Winger,Pop,03/23/2018,
Icon [CD],Cat Stevens,Pop,04/05/11,4.7
Hits [CD],Mike + the Mechanics,Pop,09/13/2005,4.9
Hellbilly Deluxe [CD] [PA],Rob Zombie,Pop,08/25/1998,4.7
Playlist: The Very Best of the Guess Who [CD],The Guess Who,Pop,06/24/2016,4.5
20th Century Masters: The Millennium Collection: Best of the Four Tops [CD],The Four Tops,R&B Soul,11/30/1999,4.8
Icon [CD],Queen,Pop,06/11/13,4.7
The Fame [Bonus Track] [CD],Lady Gaga,Pop,10/28/2008,4.7
The Sickness [CD] [PA],Disturbed,Pop,03/07/00,4.7
Playlist: The Very Best of Santana [CD],Santana,Pop,12/11/15,4.8
A Fever You Can't Sweat Out [CD],Panic! At the Disco,Pop,09/27/2005,4.7
Thank You [CD],Stone Temple Pilots,Pop,11/11/03,4.8
Lateralus [CD] [PA],Tool,Pop,05/15/2001,4.9
"But Seriously, Folks... [CD]",Joe Walsh,Pop,05/20/2008,4.5
"Playlist: The Very Best of Earth, Wind & Fire [CD]","Earth, Wind & Fire",R&B Soul,12/11/15,4.8
Living in the U.S.A. [CD],Linda Ronstadt,Country,04/15/2014,5
The Crossing [CD],David Helpling,New Age,09/14/2010,5
Meditation Moods [CD],Dean Evenson,New Age,02/09/10,5
My Life [CD],Jake Shimabukuro,New Age,09/18/2007,5
Amarantine [CD],Enya,New Age,11/22/2005,4
Within the Realm of a Dying Sun [LP] - VINYL,Dead Can Dance,Jazz,11/11/16,5
Romantic Themes [CD],Mannheim Steamroller,New Age,01/04/05,5
See You Later [CD],Vangelis,Electronic/Dance,05/05/17,4
Oreade Music: Relaxing Music for Cats and Their Owners [CD],Tshinar,New Age,06/11/13,5
Coastin' [CD],Bill Mize,New Age,03/11/08,5
The Essential Yanni [CD],Yanni,New Age,07/13/2010,4
Awakening [CD],Ashavahishta,New Age,01/21/2014,5
Native Sounds of Heaven [CD],Chari White Eagle Bouse,World,10/02/09,5
The Voyager [CD],Mike Oldfield,New Age,01/13/2008,5
The Ultimate Jesse Cook [CD],Jesse Cook,New Age,10/25/2005,5
China [CD],Vangelis,Electronic/Dance,05/05/17,5
Darklore Manor [CD],Nox Arcana,Electronic/Dance,12/15/2003,4
History [CD],Matthew West,Gospel & Christian,06/21/2005,4
Beneath the Raven Moon [CD],Mary Youngblood,New Age,02/05/02,5
Sacred Spirit: Chants & Dances of Native Americans [CD],Sacred Spirit,New Age,07/28/1998,5
Love Is [CD],Nadama,New Age,06/15/2004,5
Flute Meditations for Dreaming Clouds [CD],Paul Adams,New Age,01/01/04,5
Amarantine [LP] - VINYL,Enya,Holiday,07/14/2017,5
Crystal Bowls Chakra Chants [CD],Jonathan Goldman,New Age,04/14/2009,4
A Posteriori [CD],Enigma,New Age,09/26/2006,3
Fingers & Thumbs [CD],Adrian Legg,New Age,04/20/1999,5
Inspirato [CD],Yanni,New Age,08/19/2014,4
"Through a Dog's Ear: Music to Calm Your Canine Companion, Vol. 1 [CD]",Joshua Leeds & Lisa Spector,Classical,10/27/2009,5
Romantic Melodies [CD],Mannheim Steamroller,New Age,01/21/2003,5
Give It Away [CD],Gaither Vocal Band,Gospel & Christian,01/24/2006,5
"Barcelona Nights: The Best of Ottmar Liebert, Vol. 1 [CD]",Ottmar Liebert,New Age,02/27/2001,4
Self-Healing 2.0 [Bonus Tracks] [Remastered] [CD],Steven Halpern,New Age,02/11/14,
The Singles 1996-2006 [CD] [PA],Staind,Pop,11/14/2006,4.7
"Guardians of the Galaxy: Awesome Mix, Vol. 1 [Enhanced CD]",Various Artists,Pop,07/29/2014,4.8
Rainbow [CD] [PA],Kesha,Pop,08/11/17,4.7
Ænima [CD] [PA],Tool,Pop,10/01/96,4.8
Icon [CD],Scorpions,Pop,11/02/10,4.8
The Essential Santana [CD],Santana,Pop,08/20/2013,4.8
The Essential Johnny Cash [CD],Johnny Cash,Country,02/12/02,4.7
Zombies [Original TV Movie Soundtrack] [CD],Original Soundtrack,Pop,02/16/2018,
El Camino [CD],The Black Keys,Pop,12/06/11,4.8
Greatest Hits [Warner Bros.] [CD],Fleetwood Mac,Pop,10/25/1990,4.8
"Girls, Girls, Girls [CD & DVD]",Mötley Crüe,Pop,08/25/2017,4.8
Vault: Def Leppard Greatest Hits [CD],Def Leppard,Pop,10/31/1995,4.9
Nevermind [LP] - VINYL,Nirvana,Pop,10/11/05,5
Reanimate 3.0: The Covers EP [CD],Halestorm,Pop,01/06/17,4.6
1984 [LP] [CD],Van Halen,Pop,03/31/2015,4.8
Best of the Mamas & the Papas: 20th Century Masters [CD],The Mamas & the Papas,Pop,03/23/1999,4.7
War Is the Answer [CD] [PA],Five Finger Death Punch,Pop,09/22/2009,4.7
"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 2 [CD] [PA]",Five Finger Death Punch,Pop,11/19/2013,4.6
Thriller [Picture Disc],Michael Jackson,Pop,09/30/2008,4.8
Follow the Leader [Deluxe] [CD] [PA],Korn,Pop,04/23/2013,4.6
20th Century Masters: Millennium Collection [CD] [PA],Rob Zombie,Pop,03/13/2007,4.7
Straight Outta Compton [Music from the Motion Picture] [CD] [PA],Original Motion Picture Soundtrack,Pop,01/08/16,4.7
Take a Look in the Mirror [CD] [PA],Korn,Pop,11/25/2003,4.1
Last Young Renegade [CD],All Time Low,Pop,06/02/17,4.5
"Their Greatest Hits, Vols. 1 & 2 [CD]",Eagles,Pop,07/14/2017,4.8
Playlist: The Very Best of Bob Dylan [CD],Bob Dylan,Folk,12/11/15,4.6
Blood Sugar Sex Magik [CD] [PA],Red Hot Chili Peppers,Pop,09/24/1991,4.7
Greatest Hits [CD],Styx,Pop,08/22/1995,4.7
21 [CD],Adele,Pop,02/22/2011,4.8
2018 Grammy Nominees [CD],Various Artists,Country,01/12/18,4.5
Abbey Road [LP] - VINYL,The Beatles,Pop,11/13/2012,5
The  Thrill of It All [CD],Sam Smith,Pop,11/03/17,4.7
The Very Best of the Rolling Stones 1964-1971 [CD],The Rolling Stones,Pop,04/23/2013,4.8
Live at Reading [CD],Nirvana,Pop,11/03/09,4.6
20th Century Masters - The Millennium Collection: The Best of Three Dog Night [CD],Three Dog Night,Pop,05/16/2000,4.8
An Afternoon in the Garden [CD],Elvis Presley,Pop,08/31/2010,4.6
Greatest Hits [Bonus Tracks] [CD],Foo Fighters,Pop,11/03/09,4.7
25 [CD],Adele,Pop,11/20/2015,4.8
Icon [CD],Peter Frampton,Pop,03/01/11,4.6
The  Very Best of the Animals [CD],The Animals,Blues,06/05/12,4.6
Wonder What's Next [CD],Chevelle,Pop,02/24/2015,4.6
Diver Down [CD],Van Halen,Pop,07/10/15,4.5
Mascara & Monsters: The Best of Alice Cooper [CD],Alice Cooper,Pop,01/16/2001,4.5
 Both Sides of the Sky [LP] - VINYL,Jimi Hendrix,Pop,03/09/18,4
Superunknown [Remastered] [CD],Soundgarden,Pop,06/03/14,4.7
FutureSex/LoveSounds [CD] [PA],Justin Timberlake,Pop,02/24/2015,4.6
Catharsis [CD & DVD],Machine Head,Pop,01/26/2018,4.5
An  Introduction To [CD],Jethro Tull,Pop,04/14/2017,4.7
The Black Parade [CD] [PA],My Chemical Romance,Pop,10/24/2006,4.6
Best of Bowie [CD],David Bowie,Pop,10/22/2002,4.8
Playlist: Journey Greatest Hits [CD],Journey,Vocal,12/11/15,4.5
Tibetan Meditation Music [CD],Nawang Khechog,New Age,04/24/2007,
Home to Oblivion: An Elliott Smith Tribute [CD],Christopher O'Riley,New Age,04/11/06,4
Solo Saxophone II: Life [CD],John Klemmer,Jazz,02/26/2008,3
The Road... [CD],Keiko Matsui,Jazz,01/25/2011,3
Thunderstorm with Alpha Brainwave Pulses [CD],Jeffrey D. Thompson,New Age,09/26/2006,
Christmas Plain & Simple [CD],Michele McLaughlin,New Age,12/04/06,
The Celts [CD],Enya,New Age,06/27/1995,2.7
A  New You [CD],Various Artists,New Age,09/02/16,
Temple at Midnight [CD],Miten,New Age,09/09/16,
